,plate,well,D12,D3,strain,condition,auc,dgr
0,2,A1,PDZ,empty,BY4741,MTX,38.84854,0.07551999999999959
1,2,B1,SH3,empty,BY4741,MTX,21.9149525,0.06387999999999994
2,2,C1,GBD,empty,BY4741,MTX,4.45134,0.015479999999999938
3,2,D1,GRB2,empty,BY4741,MTX,23.671817499999996,0.06587999999999994
4,2,E1,pdz1,empty,BY4741,MTX,2.3336125,0.005180000000000018
5,2,F1,pdz2,empty,BY4741,MTX,2.0794874999999995,0.005080000000000029
6,2,G1,pdz3,empty,BY4741,MTX,6.585742499999999,0.032119999999999926
7,2,H1,sh31,empty,BY4741,MTX,5.853655000000001,0.019120000000000026
8,2,A2,PDZ,empty,BY4741,MTX,31.528649999999995,0.06959999999999944
9,2,B2,SH3,empty,BY4741,MTX,17.256200000000003,0.06268000000000029
10,2,C2,GBD,empty,BY4741,MTX,2.597265000000001,0.009399999999999964
11,2,D2,GRB2,empty,BY4741,MTX,16.626045,0.0686
12,2,E2,pdz1,empty,BY4741,MTX,1.4987250000000012,0.004500000000000004
13,2,F2,pdz2,empty,BY4741,MTX,1.5949799999999985,0.0050000000000000044
14,2,G2,pdz3,empty,BY4741,MTX,5.626780000000001,0.033119999999999816
15,2,H2,sh31,empty,BY4741,MTX,4.4217425,0.01651999999999998
16,2,A3,PDZ,empty,BY4741,MTX,29.877655000000004,0.06500000000000039
17,2,B3,SH3,empty,BY4741,MTX,25.290185,0.06528
18,2,C3,GBD,empty,BY4741,MTX,3.507477500000001,0.012520000000000087
19,2,D3,GRB2,empty,BY4741,MTX,16.98036,0.06335999999999986
20,2,E3,pdz1,empty,BY4741,MTX,1.769597499999999,0.004599999999999993
21,2,F3,pdz2,empty,BY4741,MTX,1.8378575000000021,0.005199999999999982
22,2,G3,pdz3,empty,BY4741,MTX,7.171410000000001,0.03992000000000007
23,2,H3,sh31,empty,BY4741,MTX,7.404024999999999,0.030240000000000045
24,2,A4,PDZ,empty,BY4741,MTX,25.540672500000003,0.06788000000000016
25,2,B4,SH3,empty,BY4741,MTX,20.98494,0.061879999999999935
26,2,C4,GBD,empty,BY4741,MTX,3.9883375,0.010199999999999987
27,2,D4,GRB2,empty,BY4741,MTX,22.654645,0.06440000000000001
28,2,E4,pdz1,empty,BY4741,MTX,2.2997125,0.00491999999999998
29,2,F4,pdz2,empty,BY4741,MTX,2.6933200000000017,0.005639999999999978
30,2,G4,pdz3,empty,BY4741,MTX,10.1513075,0.049879999999999924
31,2,H4,sh31,empty,BY4741,MTX,7.518787499999998,0.026599999999999957
32,2,A5,sh32,empty,BY4741,MTX,2.1702050000000015,0.0023999999999999577
33,2,B5,sh33,empty,BY4741,MTX,8.411745,0.043320000000000025
34,2,C5,sh34,empty,BY4741,MTX,13.943914999999999,0.05484
35,2,D5,gbd1,empty,BY4741,MTX,3.7147475,0.005959999999999965
36,2,E5,gab2,empty,BY4741,MTX,12.1082925,0.054079999999999906
37,2,F5,empty,PDZ,BY4741,MTX,21.854187500000002,0.0591999999999997
38,2,G5,empty,SH3,BY4741,MTX,25.6508475,0.0670799999999998
39,2,H5,empty,GBD,BY4741,MTX,3.37334,0.006000000000000005
40,2,A6,sh32,empty,BY4741,MTX,3.5115899999999995,0.0027200000000000557
41,2,B6,sh33,empty,BY4741,MTX,11.030299999999997,0.04519999999999991
42,2,C6,sh34,empty,BY4741,MTX,15.442172499999998,0.05900000000000016
43,2,D6,gbd1,empty,BY4741,MTX,3.652072500000001,0.005920000000000036
44,2,E6,gab2,empty,BY4741,MTX,15.63167,0.05439999999999978
45,2,F6,empty,PDZ,BY4741,MTX,16.954884999999997,0.056599999999999984
46,2,G6,empty,SH3,BY4741,MTX,20.116027500000005,0.05915999999999988
47,2,H6,empty,GBD,BY4741,MTX,2.4298450000000007,0.005599999999999994
48,2,A7,sh32,empty,BY4741,MTX,2.9556524999999993,0.002799999999999969
49,2,B7,sh33,empty,BY4741,MTX,9.776050000000001,0.04300000000000015
50,2,C7,sh34,empty,BY4741,MTX,19.0126025,0.06031999999999993
51,2,D7,gbd1,empty,BY4741,MTX,4.876982499999998,0.0075599999999999
52,2,E7,gab2,empty,BY4741,MTX,14.806665000000002,0.055520000000000014
53,2,F7,empty,PDZ,BY4741,MTX,22.85477,0.05919999999999992
54,2,G7,empty,SH3,BY4741,MTX,22.675915,0.06279999999999974
55,2,H7,empty,GBD,BY4741,MTX,4.4258500000000005,0.006120000000000014
56,2,A8,sh32,empty,BY4741,MTX,2.7019824999999997,0.0021200000000000108
57,2,B8,sh33,empty,BY4741,MTX,10.759925,0.0503199999999997
58,2,C8,sh34,empty,BY4741,MTX,14.719222500000003,0.05859999999999976
59,2,D8,gbd1,empty,BY4741,MTX,3.0666350000000016,0.005319999999999991
60,2,E8,gab2,empty,BY4741,MTX,11.6296075,0.05724000000000018
61,2,F8,empty,PDZ,BY4741,MTX,18.345702499999998,0.055999999999999606
62,2,G8,empty,SH3,BY4741,MTX,15.573567499999998,0.05736000000000008
63,2,H8,empty,GBD,BY4741,MTX,3.1029225,0.006199999999999983
64,2,A9,empty,GRB2,BY4741,MTX,16.66496,0.053999999999999826
65,2,B9,empty,pdz1,BY4741,MTX,8.418334999999999,0.034399999999999986
66,2,C9,empty,pdz2,BY4741,MTX,4.319415000000001,0.010079999999999978
67,2,D9,empty,pdz3,BY4741,MTX,10.805344999999999,0.052280000000000104
68,2,E9,empty,sh31,BY4741,MTX,7.611020000000002,0.030520000000000103
69,2,F9,empty,sh32,BY4741,MTX,6.307149999999998,0.023680000000000145
70,2,G9,empty,sh33,BY4741,MTX,8.242345,0.03508
71,2,H9,empty,sh34,BY4741,MTX,12.018740000000001,0.05372000000000021
72,2,A10,empty,GRB2,BY4741,MTX,13.541010000000002,0.056319999999999926
73,2,B10,empty,pdz1,BY4741,MTX,6.9261550000000005,0.02967999999999993
74,2,C10,empty,pdz2,BY4741,MTX,5.0980574999999995,0.01324000000000003
75,2,D10,empty,pdz3,BY4741,MTX,11.331032500000003,0.05571999999999999
76,2,E10,empty,sh31,BY4741,MTX,9.066324999999999,0.040079999999999893
77,2,F10,empty,sh32,BY4741,MTX,7.240840000000001,0.02967999999999993
78,2,G10,empty,sh33,BY4741,MTX,10.85842,0.05080000000000018
79,2,H10,empty,sh34,BY4741,MTX,16.6909,0.06239999999999979
80,2,A11,empty,GRB2,BY4741,MTX,16.9988575,0.05107999999999979
81,2,B11,empty,pdz1,BY4741,MTX,11.050139999999999,0.045520000000000005
82,2,C11,empty,pdz2,BY4741,MTX,4.732502499999998,0.014000000000000012
