,strain,D12,D3,plate,well,col,row,replicate,estradiol,auc,dgr
0,PL0012,sh31,pdz1,1,A1,1,A,1,0,8.9215,0.008000000000000007
1,PL0012,sh31,pdz1,1,A2,2,A,2,0,7.532,0.0040000000000000036
2,PL0012,sh31,pdz1,1,A3,3,A,3,0,8.256,0.008000000000000007
3,PL0012,sh31,pdz1,1,A4,4,A,1,5,17.242,0.028000000000000025
4,PL0012,sh31,pdz1,1,A5,5,A,2,5,19.398,0.03600000000000003
5,PL0012,sh31,pdz1,1,A6,6,A,3,5,18.618000000000002,0.040000000000000036
6,PL0012,sh31,pdz1,1,A7,7,A,1,10,39.5945,0.06400000000000006
7,PL0012,sh31,pdz1,1,A8,8,A,2,10,30.291999999999998,0.06000000000000005
8,PL0012,sh31,pdz1,1,A9,9,A,3,10,40.43000000000001,0.06800000000000006
9,PL0012,sh31,pdz1,1,A10,10,A,1,20,48.648,0.07600000000000007
10,PL0012,sh31,pdz1,1,A11,11,A,2,20,46.781499999999994,0.07999999999999963
11,PL0012,sh31,pdz1,1,A12,12,A,3,20,49.25449999999999,0.08400000000000007
12,PL0012,sh33,pdz3,1,B1,1,B,1,0,10.4455,0.01200000000000001
13,PL0012,sh33,pdz3,1,B2,2,B,2,0,6.115499999999999,0.008000000000000007
14,PL0012,sh33,pdz3,1,B3,3,B,3,0,6.138000000000001,0.008000000000000007
15,PL0012,sh33,pdz3,1,B4,4,B,1,5,9.3275,0.02400000000000002
16,PL0012,sh33,pdz3,1,B5,5,B,2,5,6.731,0.008000000000000007
17,PL0012,sh33,pdz3,1,B6,6,B,3,5,5.921000000000001,0.008000000000000007
18,PL0012,sh33,pdz3,1,B7,7,B,1,10,7.6065000000000005,0.01200000000000001
19,PL0012,sh33,pdz3,1,B8,8,B,2,10,5.034999999999999,0.008000000000000007
20,PL0012,sh33,pdz3,1,B9,9,B,3,10,6.496,0.016000000000000014
21,PL0012,sh33,pdz3,1,B10,10,B,1,20,7.553500000000001,0.016000000000000014
22,PL0012,sh33,pdz3,1,B11,11,B,2,20,5.4915,0.008000000000000007
23,PL0012,sh33,pdz3,1,B12,12,B,3,20,5.384499999999999,0.008000000000000007
24,PL0012,sh31,pdz3,1,C1,1,C,1,0,7.9105,0.0040000000000000036
25,PL0012,sh31,pdz3,1,C2,2,C,2,0,11.809499999999998,0.02400000000000002
26,PL0012,sh31,pdz3,1,C3,3,C,3,0,7.9145,0.01200000000000001
27,PL0012,sh31,pdz3,1,C4,4,C,1,5,7.754,0.008000000000000007
28,PL0012,sh31,pdz3,1,C5,5,C,2,5,11.854000000000001,0.028000000000000025
29,PL0012,sh31,pdz3,1,C6,6,C,3,5,6.285499999999999,0.008000000000000007
30,PL0012,sh31,pdz3,1,C7,7,C,1,10,6.896000000000001,0.008000000000000007
31,PL0012,sh31,pdz3,1,C8,8,C,2,10,10.637500000000001,0.028000000000000025
32,PL0012,sh31,pdz3,1,C9,9,C,3,10,6.967000000000002,0.008000000000000007
33,PL0012,sh31,pdz3,1,C10,10,C,1,20,7.339500000000001,0.01200000000000001
34,PL0012,sh31,pdz3,1,C11,11,C,2,20,16.571,0.05999999999999961
35,PL0012,sh31,pdz3,1,C12,12,C,3,20,9.136,0.020000000000000018
36,PL0012,sh33,pdz1,1,D1,1,D,1,0,7.573,0.0040000000000000036
37,PL0012,sh33,pdz1,1,D2,2,D,2,0,6.5489999999999995,0.0040000000000000036
38,PL0012,sh33,pdz1,1,D3,3,D,3,0,5.8555,0.0040000000000000036
39,PL0012,sh33,pdz1,1,D4,4,D,1,5,7.014,0.008000000000000007
40,PL0012,sh33,pdz1,1,D5,5,D,2,5,5.8885000000000005,0.0040000000000000036
41,PL0012,sh33,pdz1,1,D6,6,D,3,5,5.413,0.0040000000000000036
42,PL0012,sh33,pdz1,1,D7,7,D,1,10,6.094,0.008000000000000007
43,PL0012,sh33,pdz1,1,D8,8,D,2,10,5.332000000000001,0.0040000000000000036
44,PL0012,sh33,pdz1,1,D9,9,D,3,10,6.389500000000002,0.01200000000000001
45,PL0012,sh33,pdz1,1,D10,10,D,1,20,6.631,0.01200000000000001
46,PL0012,sh33,pdz1,1,D11,11,D,2,20,5.809,0.008000000000000007
47,PL0012,sh33,pdz1,1,D12,12,D,3,20,6.154000000000001,0.008000000000000007
48,PL0012,pdz3,sh33,1,E1,1,E,1,0,9.6555,0.01200000000000001
49,PL0012,pdz3,sh33,1,E2,2,E,2,0,6.625,0.0040000000000000036
50,PL0012,pdz3,sh33,1,E3,3,E,3,0,6.2755,0.0040000000000000036
51,PL0012,pdz3,sh33,1,E4,4,E,1,5,7.212,0.008000000000000007
52,PL0012,pdz3,sh33,1,E5,5,E,2,5,6.8005,0.008000000000000007
53,PL0012,pdz3,sh33,1,E6,6,E,3,5,4.947500000000001,0.0040000000000000036
54,PL0012,pdz3,sh33,1,E7,7,E,1,10,6.521000000000001,0.008000000000000007
55,PL0012,pdz3,sh33,1,E8,8,E,2,10,5.042000000000002,0.008000000000000007
56,PL0012,pdz3,sh33,1,E9,9,E,3,10,4.745000000000001,0.0040000000000000036
57,PL0012,pdz3,sh33,1,E10,10,E,1,20,5.8065000000000015,0.008000000000000007
58,PL0012,pdz3,sh33,1,E11,11,E,2,20,6.157500000000001,0.01200000000000001
59,PL0012,pdz3,sh33,1,E12,12,E,3,20,5.0375,0.0040000000000000036
